S1_TN	S1_TP	S2_TN	S2_TP	S3_TN	S3_TP	S4_TN	S4_TP	S5_TN	S5_TP	S6_TN	S6_TP	S7_TN	S7_TP
CDY11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-505C13.1	27	47	17	19	71	38	81	42	18	26	16	34	14	80
POTEB2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP5-1121A15.3	0	0	1	2	0	0	0	0	6	0	0	0	0	0
RP11-174G17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBBP1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
RP11-314A15.2	3	9	9	7	3	6	10	2	4	5	6	6	0	0
LINC00364	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AK3P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMSB4XP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC110754.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC017104.4	0	0	0	0	0	1	0	0	0	0	0	2	0	0
CTA-929C8.8	143	50	374	184	340	110	120	15	107	54	577	251	137	65
MTND3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-76N22.1	1	1	3	4	1	5	5	5	2	2	1	5	0	7
RP11-402G3.5	871	750	443	673	418	595	523	842	890	939	307	371	551	1045
DDX6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-172E9.2	0	2	1	12	2	4	5	67	5	14	6	18	0	9
TRPM2-AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD66	0	0	8	0	9	0	15	0	11	9	2	0	0	18
RP11-384C4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-244N20.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010974.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPD1P6	3	7	10	15	8	11	2	4	8	9	8	8	6	1
CDC42-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC37A15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL4P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009947.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-195F19.9	155	156	165	339	336	358	234	316	157	215	128	155	454	311
AC016708.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTAPP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK24P1	2	4	5	3	8	6	2	0	4	2	4	5	3	4
AC139143.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRT3-AS1	35	41	29	30	33	13	0	6	37	29	35	11	11	2
AC009237.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-613B23.1	244	238	202	359	136	252	316	413	276	266	316	261	342	192
VN1R96P	16	8	14	19	16	9	42	14	41	17	31	23	0	30
AC104389.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT16P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM254-AS1	176	216	210	624	275	517	671	926	188	353	315	509	207	530
RP11-206L10.8	190	202	478	560	284	225	368	552	388	359	634	633	77	188
RP11-34C15.2	0	3	0	1	1	1	0	1	1	2	1	0	0	0
ME2P1	1	3	4	3	1	2	0	2	4	4	2	2	0	1
TCERG1L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRBV5-4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-344N17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB3P2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP11-407B7.1	31	21	107	135	161	134	317	276	54	72	146	211	42	105
AC018712.2	20	10	24	14	9	2	0	30	17	22	9	8	0	0
RP11-431N15.2	6	2	8	4	21	10	10	0	4	8	2	9	1	1
SNRPCP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTA-126B4.7	8	6	3	10	4	4	2	0	5	11	5	10	0	1
RP11-275N1.1	4	5	2	4	5	19	5	0	5	6	3	7	6	2
AC115283.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-56H7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC091177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-141A19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-163G10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092569.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC123900.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-90G24.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-385N23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEL1P3	3	7	0	2	1	1	1	34	4	3	0	0	0	0
DLEC1P1	67	84	49	34	39	36	9	61	117	115	24	20	21	65
ACBD6	9242	9191	11790	12393	11308	11614	13349	13709	11968	11152	11892	11425	8991	10014
EEF1A1P39	1	2	4	4	4	8	2	0	4	2	0	0	0	1
FGF12-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1189K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-282I1.1	623	1312	403	957	369	614	291	1164	1702	3573	390	972	802	1950
RP5-1193P9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLJ33581	176	215	235	559	117	566	94	427	329	422	452	765	48	201
RP4-539M6.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-117D22.2	0	2	0	0	1	0	0	0	0	0	0	2	0	0
AC016738.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01075	1	1	1	0	0	1	0	1	0	2	0	0	1	4
SEPHS1P4	2	4	4	1	0	3	1	8	3	6	3	4	9	24
RP11-305L7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP3-508I15.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF003626.1	0	0	0	0	0	0	49	0	4	0	0	1	0	0
AC018463.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-477O4.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00443	20	16	458	398	245	224	21	48	80	55	55	61	68	62
ATP5G1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P28	0	0	0	0	0	0	0	0	0	0	0	2	0	0
RP11-232D9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004854.5	2	0	1	0	3	3	2	0	1	0	1	0	0	0
RP11-62L10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A11P	102	68	43	40	77	48	58	16	85	115	61	75	56	47
RP5-997D16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAS1LP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-1144G6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-526K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL30P16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P28	0	2	2	4	1	0	0	2	0	1	2	1	1	0
RPL22P18	1	1	1	1	3	0	3	0	2	2	0	0	2	0
AC090957.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006196.1	12	9	21	61	17	10	22	17	41	34	21	37	24	31
LINC01149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-466F5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01433	2	9	15	17	2	21	248	22	13	20	3	7	39	59
RP5-1112D6.4	67	46	119	89	142	113	155	179	107	71	133	78	29	150
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2542O7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT6LP1	66	47	59	74	112	70	77	35	134	160	67	92	75	21
SMYD3-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf147	147	181	117	216	168	282	301	220	231	221	84	146	85	204
RP5-998N21.7	13	12	18	40	10	18	12	19	8	16	14	22	2	11
RP11-291O7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-405L18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GS1-124K5.2	1675	1423	2379	2127	2461	2046	2197	2833	2638	2192	2978	2432	2897	3547
AC005518.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-725G10.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC073387.2	0	0	0	0	0	0	0	0	2	0	0	1	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX43P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-160E2.17	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPL37P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-331N16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-632C17__A.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-1048E9.7	0	2	0	0	0	0	0	1	0	1	0	0	2	0
FTH1P5	1	1	4	1	0	1	7	6	5	0	0	0	0	0
RP11-631F7.2	73	106	133	167	65	113	83	90	95	130	132	212	58	59
RPL4P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNNP1	10	3	6	8	1	9	1	8	10	22	5	17	3	9
AP000688.14	120	135	69	140	142	177	274	274	161	255	108	172	153	204
OR8V1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTLP18	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EIF2B5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPB1P2	0	1	1	1	0	4	4	1	0	0	1	0	0	2
FAM92A1P2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
RP11-173G21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN8OS	8	15	6	26	9	23	14	28	16	49	9	30	0	52
PHBP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND5P14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-697K14.3	1	0	4	5	1	3	43	1	7	1	10	3	0	3
SIAH1P1	0	1	0	2	0	0	0	0	0	1	0	0	0	0
RP11-4M23.4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-90J7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO7P	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AF240627.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-276N6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010975.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-108M9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-241I20.1	2	1	1	1	7	26	16	22	0	1	1	2	0	10
RP11-38O23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP1AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD23BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-475I24.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA31C1	25	5	34	45	47	24	19	28	22	19	23	14	30	6
HNRNPH3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-128O3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-824C8.2	0	0	0	0	0	0	0	0	1	0	0	0	0	2
RP11-90C4.2	1	6	3	7	4	18	22	9	5	4	4	5	6	5
PHBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFR1OP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.1	6	7	4	36	6	6	4	1	35	20	16	9	21	19
RP11-75C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52J2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIRLET7DHG	27	36	30	53	20	43	130	32	17	37	19	15	15	49
RP11-702C7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XXYLT1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERC2P4	114	162	1663	1826	693	624	69	152	506	448	135	246	469	615
SSU72P8	0	0	0	0	0	0	0	0	3	0	0	0	0	0
RP1-40E16.9	7	13	40	54	27	34	66	30	42	18	55	43	36	14
RP11-548K12.5	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AC087163.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERBP1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-373A6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P61	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS12P24	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP11-402G3.4	17	18	3	8	2	7	3	14	32	21	3	7	13	4
RP11-290M5.2	25	12	3	4	1	8	0	1	14	18	1	6	13	0
AC013472.4	43	46	53	54	62	40	72	23	93	69	28	24	54	33
RP11-305E17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-334J6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-244J10.1	1	1	3	7	6	9	4	6	8	4	7	4	1	3
NAALADL2-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-507P19.2	3	3	1	13	8	25	11	2	14	16	6	15	1	6
RP11-458F8.2	29	21	15	30	34	20	46	82	46	15	18	17	8	17
RP11-253D19.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC093162.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STARD13-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND3P4	0	0	0	0	0	1	0	0	1	0	0	0	0	3
RP11-213G2.2	160	160	216	184	138	153	192	150	208	166	239	228	121	127
CICP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004980.9	17	19	37	64	35	31	30	39	33	42	39	34	40	42
BANF1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-390M24.1	0	0	0	0	0	0	0	3	0	0	0	1	0	0
CTD-2192J16.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM20P4	24	39	17	62	23	29	58	68	13	24	26	27	11	3
LL0XNC01-116E7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCG24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL2-AS1	10	13	19	32	9	15	21	7	9	19	27	48	9	4
FEZF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01284	2281	2515	2816	2645	2707	2444	2025	3481	4291	4659	3148	2893	3201	3714
XRCC6P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL022476.2	6	9	2	12	3	10	35	0	3	4	7	2	0	1
BEND7P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3105H18.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-323N1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00159	4479	4655	2592	2779	2593	2249	2140	2315	6669	6818	2871	2710	3765	4187
RP4-705O1.1	47	110	124	125	91	68	55	158	66	156	138	172	180	183
RP11-385F5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGN1P33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009234.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-35N6.6	0	0	3	1	0	0	0	0	0	1	0	0	0	0
HMGN2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1068B5.1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
AC004538.3	1091	1205	850	945	1075	794	1515	1636	2115	2040	1317	1256	1496	1247
DNAJB5P1	0	0	1	1	0	0	0	1	1	2	0	1	0	0
RP4-635E18.6	1	0	1	3	5	1	6	0	11	0	1	1	0	4
MTND4P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-434D2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCD2P2	1	0	1	1	3	1	1	0	2	1	0	1	2	1
AC018892.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-455A7.1	70	54	119	52	133	72	61	5	111	54	115	79	63	38
CT47A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL35AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-614C15.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC114755.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009474.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPD2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPDYE21P	346	297	380	566	1102	945	745	807	466	467	458	496	310	383
TPI1P2	0	0	0	8	0	0	0	0	0	1	1	0	1	0
DDX10P2	15	14	33	42	43	21	8	11	24	33	33	37	7	20
VN1R32P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P23	0	0	0	0	0	3	0	0	0	0	0	0	0	0
RPL4P3	5	9	2	14	1	6	1	17	6	11	6	3	1	2
RP11-23D5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR9	113	59	190	261	133	121	255	301	224	176	136	114	55	135
FAM41C	113	176	47	62	27	29	22	33	216	264	43	37	7	19
RPL23AP52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KARSP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-425P12.2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
GOLGA6L5P	203	276	118	258	249	412	131	313	218	381	132	226	165	272
GSTA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEMO1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000146.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-655J12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009245.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012507.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-157F18.2	0	0	0	2	0	1	1	0	1	0	1	1	0	0
RP4-737E23.2	107	68	459	263	353	157	116	26	374	299	575	336	176	137
LINC01048	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RPSAP23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1139I1.1	21	36	53	35	18	29	30	19	35	31	28	39	30	15
AC092667.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-692P14.1	71	79	106	119	146	76	104	120	96	133	153	176	58	119
AC092651.1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
SPTLC1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HINT2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-359G22.2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC090505.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01349	16	15	30	27	70	22	41	22	23	27	53	22	24	17
LINC01066	0	0	2	1	0	5	0	0	2	13	2	4	2	0
RP5-855F14.2	9	0	1	0	0	0	0	9	3	0	9	2	0	0
RPS3AP52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079834.1	0	0	0	1	0	0	0	0	14	13	1	1	0	0
AC018717.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC007163.6	2	22	13	30	22	15	10	56	5	28	10	12	2	8
TCEA1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR3D1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB1P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-902P8.10	56	59	102	106	173	168	163	80	65	64	93	90	117	245
OR5M4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00856	3629	4322	3437	4951	2737	2591	4815	6362	5496	6926	3900	4716	2687	3257
ARL2BPP7	2	6	0	9	0	2	7	1	2	8	1	1	0	7
XX-C2158C6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-43E13.2	357	352	333	531	506	398	821	818	460	345	530	392	429	363
RSU1P1	0	0	1	0	1	1	0	0	1	1	0	3	3	3
ERVMER61-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-313A24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-196A12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114803.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-20B11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-14O19.1	0	0	1	0	0	1	0	0	0	1	1	1	0	0
AC004160.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-102J14.1	249	160	275	209	224	200	253	174	290	332	323	239	368	424
SERPINB9P1	99	90	379	336	230	187	398	378	232	213	230	181	212	255
RP11-488P3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-329D4.3	0	0	0	0	0	1	1	0	0	0	1	0	1	0
RP11-390E23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAMP1	7	11	12	11	3	3	6	1	36	25	10	12	1	0
LRRC37A6P	19	56	6	24	9	30	23	50	23	50	23	77	39	57
CTF2P	0	5	2	17	4	6	31	50	4	11	1	5	1	19
LINC00276	2156	1600	5021	3067	3983	2676	4248	3359	4558	2945	7683	4695	3550	3297
RPL7P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS29P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01381	0	1	1	1	8	3	4	8	1	3	3	3	1	0
ANKRD18B	1514	1045	2733	2079	2172	1651	1071	1243	3456	2574	2085	1698	2388	1978
U73166.2	7	15	23	42	21	37	265	32	15	17	24	35	6	70
PA2G4P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPM6BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-741G21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROX1-AS1	603	640	320	2162	195	1082	1270	1421	1002	1379	239	1933	1008	1067
VENTXP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLUHP5	4	0	2	4	2	0	1	4	2	0	6	4	20	9
RPL5P26	0	0	0	0	1	0	0	0	1	0	0	0	0	0
GS1-115G20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA16c-2F2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-28O17.1	5	10	19	17	16	23	15	14	23	29	23	23	15	17
ATP6V1G1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P9Y	0	0	0	0	0	0	1	0	1	5	1	2	0	2
AC005034.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-52D1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000695.6	56	43	44	121	122	81	53	55	88	89	65	49	108	174
AC093142.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV1OR22-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5G2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC124057.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51A10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	1	0	1	1	1
PSMG3-AS1	250	252	484	1014	575	835	795	1221	413	527	596	1016	325	565
VAV3-AS1	51	90	15	49	36	86	3	35	20	37	10	11	8	22
RP11-141M1.3	696	509	633	1280	758	960	705	738	885	826	847	1492	704	801
RP13-228J13.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-753D10.5	1	8	0	2	0	2	0	0	7	4	0	10	7	2
RP11-462D18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC068137.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1B2P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-564M11.2	895	461	1397	943	739	486	856	777	1746	927	1013	672	697	606
AC108463.1	43	28	40	19	43	7	65	62	86	70	53	16	78	30
MKX-AS1	88	56	49	95	50	79	8	38	79	89	27	68	78	62
ANKRD30BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2230M5.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RP11-416N4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP8	0	0	1	1	0	2	0	0	0	0	1	0	0	0
RPL19P21	0	0	1	0	1	1	4	0	2	0	0	0	0	0
PPP5D1	443	466	508	698	835	1037	1068	954	679	649	561	632	614	768
THAP7-AS1	25	25	16	26	59	72	60	29	29	35	17	14	169	141
AC092580.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-555J4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1060J15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-533K11.1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
HCG4P7	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L2	0	0	1	0	0	0	0	0	1	0	0	0	0	0
RP3-437I16.1	159	213	110	166	76	59	71	294	179	301	11	44	44	188
COL6A4P1	63	35	67	67	61	92	36	59	83	78	50	64	66	70
AC007403.2	7	11	16	19	17	19	6	43	17	10	12	7	7	12
RP11-472G21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOS2P3	106	64	106	62	20	12	48	23	205	132	55	34	29	17
CEACAMP9	1	4	0	1	0	0	0	0	9	2	4	7	6	2
LIMD1-AS1	2	13	3	11	5	10	24	0	10	7	8	10	4	1
MTND5P7	0	1	0	1	0	0	0	0	0	1	1	0	0	1
AC091133.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-95M15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-297A16.2	83	121	91	130	133	148	26	112	189	249	153	132	80	163
BASP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-379C10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-305L7.1	61	64	22	31	8	32	9	4	86	65	28	36	2	6
RP3-428A13.1	0	0	0	0	0	0	0	0	2	0	0	2	0	0
AOAH-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX3P1X	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-393I23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND4P27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
